streamlit run dashboard/app.pytransaction_id,customer_id,merchant,amount,transaction_date,payment_mode,status
TXN000102,CUST00636,Zomato,4339.09,2026-03-03,credit_card,pending
TXN000103,CUST00229,Ola,8097.7,2025-09-11,debit_card,pending
TXN000104,CUST00088,Reliance Digital,11080.74,2025-09-28,cash,pending
TXN000105,CUST00447,Paytm Mall,8709.2,2025-06-14,net_banking,failed
TXN000105,CUST00428,Myntra,75000.0,2026-04-09,upi,pending
TXN000105,CUST00336,Duplicate Txn,15097.37,2026-03-04,debit_card,pending
TXN000108,CUST00629,Swiggy,523.4,2026-03-29,net_banking,pending
TXN000109,CUST00894,Paytm Mall,1154.35,2026-02-20,cash,pending
TXN000110,CUST00744,Flipkart,4332.97,2025-11-07,debit_card,pending
TXN000111,CUST00606,Swiggy,832.76,2025-11-14,credit_card,pending
TXN000112,CUST00360,Paytm Mall,15721.96,2026-01-21,debit_card,pending
TXN000113,CUST00778,Myntra,9321.92,2026-04-16,cash,cancelled
TXN000114,CUST00216,Flipkart,22962.95,2026-06-25,cash,pending
TXN000115,CUST00202,Reliance Digital,22977.33,2025-11-27,net_banking,pending
TXN000116,CUST00255,Uber,15114.35,2025-10-18,upi,refund
TXN000117,CUST00265,Amazon,3380.82,2025-07-28,debit_card,pending
TXN000118,CUST01041,Paytm Mall,13380.74,2025-08-03,debit_card,pending
TXN000119,CUST00263,Flipkart,6635.27,2025-12-31,cash,failed
TXN000120,CUST00061,Flipkart,22407.19,2025-09-16,upi,pending
TXN000121,CUST99999,Swiggy,6049.35,2026-02-06,upi,refund
TXN000122,CUST00144,Ola,23083.78,2026-03-06,debit_card,refund
TXN000123,CUST00083,Amazon,1625.11,2025-09-10,upi,failed
TXN000124,CUST00415,Amazon,16084.24,2026-06-17,net_banking,pending
TXN000125,CUST00092,Myntra,15182.4,2025-08-10,net_banking,refund
TXN000126,CUST00258,Reliance Digital,24258.03,2026-02-28,credit_card,pending
TXN000127,CUST00067,Zomato,7546.66,2026-04-08,debit_card,pending
TXN000128,CUST00806,Swiggy,21212.95,2026-06-15,cash,pending
TXN000129,CUST00714,Amazon,17441.26,2025-08-07,cash,pending
TXN000130,CUST00764,Uber,13411.41,2025-09-02,net_banking,pending
TXN000131,CUST01050,Myntra,6358.99,2025-07-02,cash,pending
TXN000132,CUST00622,Amazon,11990.81,2026-03-04,cash,pending
TXN000133,CUST00475,Amazon,4330.66,2026-05-03,net_banking,cancelled
TXN000134,CUST00456,Myntra,7500.81,2025-11-03,net_banking,pending
TXN000135,CUST00544,Paytm Mall,9369.74,2025-08-15,upi,pending
TXN000136,CUST00952,Swiggy,500.0,2026-01-24,cash,refund
TXN000137,CUST00289,Paytm Mall,17271.62,2025-06-16,debit_card,pending
TXN000138,CUST00315,Flipkart,19891.18,2026-01-17,upi,pending
TXN000139,CUST00677,Zomato,19330.98,2026-02-19,credit_card,pending
TXN000140,CUST00184,Myntra,5603.8,2026-04-09,net_banking,failed
TXN000141,CUST00501,Swiggy,17808.65,2026-05-13,credit_card,pending
TXN000142,CUST00116,Uber,2163.06,2026-01-19,upi,pending
TXN000143,CUST00695,Myntra,12646.1,2025-08-24,debit_card,pending
TXN000144,CUST00890,Reliance Digital,7983.2,2026-06-04,net_banking,refund
TXN000145,CUST00986,BigBasket,14222.06,2026-05-11,upi,cancelled
TXN000146,CUST00951,Reliance Digital,4590.37,2026-05-09,debit_card,pending
TXN000147,CUST00615,Flipkart,13398.44,2026-04-02,upi,pending
TXN000148,CUST00069,Flipkart,24124.52,2026-05-03,cash,pending
TXN000149,CUST01004,Ola,299.85,2026-01-01,credit_card,completed
TXN000150,CUST00401,Paytm Mall,3168.53,2025-07-24,upi,refund
TXN000151,CUST00001,Swiggy,2833.37,2026-03-20,net_banking,failed
TXN000152,CUST00520,Amazon,515.43,2026-05-19,net_banking,refund
TXN000153,CUST00080,Zomato,4820.71,2026-03-27,debit_card,refund
TXN000154,CUST00014,Ola,4605.75,2025-10-05,cash,pending
TXN000155,CUST00692,Flipkart,6104.76,2025-05-31,net_banking,pending
TXN000156,CUST00250,Myntra,1200.0,2025-09-09,cash,failed
TXN000157,CUST00756,Ola,8510.27,2026-05-20,cash,pending
TXN000158,CUST00984,Uber,16211.8,2025-05-30,debit_card,pending
TXN000159,CUST00185,Ola,8305.99,2025-06-06,credit_card,refund
TXN000160,CUST00359,Uber,9323.04,2025-11-26,cash,pending
TXN000161,CUST00544,Uber,9758.89,2026-03-27,debit_card,cancelled
TXN000162,CUST00162,Flipkart,2204.02,2026-01-24,net_banking,pending
TXN000163,CUST00229,Zomato,8608.17,2025-11-03,credit_card,refund
TXN000164,CUST00272,Amazon,13837.27,2026-03-06,cash,pending
TXN000165,CUST00644,Swiggy,4774.79,2025-10-07,net_banking,pending
TXN000166,CUST00047,Ola,16413.32,2025-08-10,upi,pending
TXN000167,CUST00297,Reliance Digital,1502.53,2025-10-17,cash,pending
TXN000168,CUST00507,Uber,7882.34,2025-09-22,upi,pending
TXN000169,CUST00232,Swiggy,20623.46,2025-07-04,credit_card,cancelled
TXN000170,CUST00395,Reliance Digital,7924.86,2025-12-05,net_banking,pending
TXN000171,CUST00440,Myntra,999.99,2026-02-07,net_banking,cancelled
TXN000172,CUST00915,Amazon,23542.43,2026-06-12,net_banking,pending
TXN000173,CUST00697,Paytm Mall,24289.87,2026-06-04,credit_card,pending
TXN000174,CUST00358,Myntra,792.42,2025-09-01,credit_card,pending
TXN000175,CUST00145,Flipkart,2186.09,2025-05-31,credit_card,pending
TXN000176,CUST00142,Uber,1983.49,2026-05-28,cash,cancelled
TXN000177,CUST00768,Myntra,4361.35,2025-12-06,net_banking,pending
TXN000178,CUST00961,Flipkart,4906.57,2026-01-15,cash,pending
TXN000179,CUST00357,Reliance Digital,17227.97,2026-04-25,credit_card,cancelled
TXN000180,CUST00444,Ola,16794.99,2025-06-14,net_banking,pending
TXN000181,CUST00957,Zomato,2776.8,2026-03-02,credit_card,pending
TXN000182,CUST00070,Swiggy,4094.31,2025-07-23,net_banking,failed
TXN000183,CUST00267,Reliance Digital,4289.6,2025-12-27,cash,cancelled
TXN000184,CUST00165,Paytm Mall,19585.27,2025-09-06,credit_card,cancelled
TXN000185,CUST00903,Reliance Digital,16961.55,2026-01-10,cash,pending
TXN000186,CUST00904,BigBasket,55000.0,2026-06-21,debit_card,failed
TXN000187,CUST00706,Zomato,23346.36,2026-06-12,debit_card,pending
TXN000188,CUST00223,Flipkart,21971.88,2025-06-26,net_banking,cancelled
TXN000189,CUST00483,Reliance Digital,22092.4,2026-02-17,upi,pending
TXN000190,CUST00597,Ola,19977.76,2025-10-14,debit_card,pending
TXN000191,CUST00108,Uber,1812.86,2025-09-01,cash,failed
TXN000192,CUST00272,Ola,23731.64,2026-04-10,debit_card,failed
TXN000193,CUST00949,Zomato,23917.79,2025-11-14,net_banking,pending
TXN000194,CUST00570,Flipkart,6958.47,2026-03-31,upi,pending
TXN000195,CUST00257,Swiggy,11899.75,2026-04-19,net_banking,pending
TXN000196,CUST00624,Amazon,18788.97,2026-02-14,cash,pending
TXN000197,CUST00030,Reliance Digital,19269.53,2025-12-02,debit_card,failed
TXN000198,CUST00558,Paytm Mall,14041.79,2025-08-02,debit_card,pending
TXN000199,CUST00373,Amazon,13432.13,2025-08-30,debit_card,pending
TXN000200,CUST00211,Uber,12051.41,2026-03-29,debit_card,cancelled
TXN000201,ORPHAN001,Amazon,19423.15,2026-02-13,debit_card,failed
TXN000202,CUST00172,Zomato,11380.8,2026-03-19,cash,pending
TXN000203,CUST00664,Flipkart,2579.16,2026-05-04,net_banking,pending
TXN000204,CUST00500,Zomato,17659.5,2026-03-07,debit_card,pending
TXN000205,CUST00978,BigBasket,19741.82,2025-10-28,cash,pending
TXN000206,CUST00117,Myntra,4419.82,2026-03-20,net_banking,pending
TXN000207,CUST00895,Myntra,17235.24,2025-08-06,cash,pending
TXN000208,CUST00218,BigBasket,2094.44,2025-06-27,net_banking,cancelled
TXN000209,CUST00476,Zomato,20682.5,2025-07-01,debit_card,pending
TXN000210,CUST00599,Ola,11835.35,2026-03-05,debit_card,failed
TXN000211,CUST00885,Swiggy,22431.0,2026-03-28,upi,pending
TXN000212,CUST00279,BigBasket,18584.93,2025-08-03,cash,pending
TXN000213,CUST00766,Paytm Mall,17362.18,2025-11-18,credit_card,pending
TXN000214,CUST00438,BigBasket,12274.21,2026-05-05,upi,pending
TXN000215,CUST00117,Myntra,16865.33,2025-07-09,upi,pending
TXN000216,CUST00038,Myntra,4696.78,2025-06-30,net_banking,pending
TXN000217,CUST00288,Ola,16221.06,2025-10-30,credit_card,pending
TXN000218,CUST00982,Myntra,807.69,2025-09-01,net_banking,pending
TXN000219,CUST00021,Uber,22399.62,2026-02-21,cash,pending
TXN000220,CUST00251,Reliance Digital,6172.05,2025-10-21,upi,pending
TXN000221,CUST00323,Reliance Digital,23327.15,2025-06-06,debit_card,pending
TXN000222,CUST00091,Uber,13078.28,2026-06-07,upi,pending
TXN000223,CUST00075,Swiggy,21323.54,2026-06-04,net_banking,pending
TXN000224,CUST00590,Zomato,23017.71,2025-12-01,cash,pending
TXN000225,CUST00982,Amazon,14236.79,2026-03-21,net_banking,failed
TXN000226,CUST00179,BigBasket,12470.42,2025-08-09,cash,pending
TXN000227,CUST00241,Reliance Digital,11828.65,2025-07-18,debit_card,pending
TXN000228,CUST00298,Zomato,1471.07,2026-02-17,net_banking,pending
TXN000229,CUST00521,Swiggy,22419.26,2026-05-27,credit_card,pending
TXN000230,CUST00528,Myntra,6987.34,2026-01-18,upi,cancelled
TXN000231,CUST00636,Amazon,2415.68,2026-02-02,cash,completed
TXN000232,CUST00465,Amazon,16146.83,2025-07-27,net_banking,pending
TXN000233,CUST00885,Myntra,12825.39,2025-11-14,cash,pending
TXN000234,CUST00470,Swiggy,19195.07,2025-06-26,debit_card,pending
TXN000235,CUST00290,Myntra,19060.96,2025-06-11,credit_card,pending
TXN000236,CUST00670,Swiggy,17196.26,2025-10-18,credit_card,completed
TXN000237,CUST00502,Flipkart,16415.67,2025-10-16,debit_card,pending
TXN000238,CUST00896,BigBasket,13042.86,2025-10-24,net_banking,pending
TXN000239,CUST00318,Ola,18570.34,2025-11-23,debit_card,pending
TXN000240,CUST00531,Reliance Digital,22094.99,2025-12-29,upi,pending
TXN000241,CUST00383,Uber,8600.67,2026-05-21,upi,pending
TXN000242,CUST00249,Flipkart,15033.75,2025-08-13,net_banking,pending
TXN000243,CUST00706,Reliance Digital,12793.51,2026-02-16,upi,pending
TXN000244,CUST00913,Uber,4404.88,2026-02-02,upi,pending
TXN000245,CUST00252,Myntra,31.67,2026-03-20,cash,pending
TXN000246,CUST00492,Swiggy,7508.58,2026-05-29,debit_card,pending
TXN000247,CUST00106,Zomato,1773.25,2026-03-11,net_banking,pending
TXN000248,CUST00466,Reliance Digital,17820.77,2025-08-19,credit_card,pending
TXN000249,CUST00007,Ola,8116.55,2025-12-29,net_banking,pending
TXN000250,CUST00459,Reliance Digital,19454.77,2025-09-26,cash,failed
TXN000251,CUST00479,Amazon,22235.18,2025-07-16,credit_card,pending
TXN000252,CUST00169,Myntra,1890.13,2026-05-05,net_banking,pending
TXN000253,CUST00459,Zomato,13516.12,2025-07-06,cash,cancelled
TXN000254,CUST00905,Myntra,22166.31,2025-12-17,net_banking,pending
TXN000255,CUST00918,Uber,7717.51,2026-01-11,cash,failed
TXN000256,CUST01005,Zomato,21321.83,2026-03-27,upi,pending
TXN000257,CUST00285,Paytm Mall,9332.43,2026-03-15,upi,failed
TXN000258,CUST00542,Uber,10994.59,2025-10-20,cash,pending
TXN000259,CUST00416,Amazon,6511.31,2025-10-17,cash,pending
TXN000260,CUST00877,Flipkart,16831.73,2025-08-30,upi,failed
TXN000261,CUST00361,Zomato,9775.7,2026-01-14,credit_card,pending
TXN000262,CUST00057,Reliance Digital,14059.9,2026-03-17,net_banking,pending
TXN000263,CUST00071,Zomato,2686.49,2025-10-31,debit_card,pending
TXN000264,CUST00630,Ola,6043.43,2025-10-02,debit_card,failed
TXN000265,CUST00806,Zomato,3006.31,2025-07-23,debit_card,pending
TXN000266,CUST00394,Paytm Mall,16434.23,2025-05-25,debit_card,pending
TXN000267,CUST00442,Swiggy,17816.9,2025-11-15,credit_card,pending
TXN000268,CUST00752,Paytm Mall,8478.02,2025-07-20,cash,pending
TXN000269,CUST00602,Uber,10143.53,2026-04-08,upi,pending
TXN000270,CUST00553,Flipkart,22126.25,2025-07-06,cash,pending
TXN000271,CUST00004,Ola,12483.11,2026-03-04,net_banking,cancelled
TXN000272,CUST00379,Flipkart,20819.54,2025-12-30,upi,pending
TXN000273,CUST00380,Reliance Digital,12020.74,2025-12-05,upi,pending
TXN000274,CUST00386,Flipkart,14683.19,2025-10-03,debit_card,pending
TXN000275,CUST00317,BigBasket,12332.5,2025-10-20,debit_card,pending
TXN000276,CUST00793,Amazon,2941.06,2026-03-24,credit_card,completed
TXN000277,CUST00138,Uber,14495.93,2025-06-18,debit_card,pending
TXN000278,CUST00670,Swiggy,16457.7,2025-07-25,upi,pending
TXN000279,CUST00256,Amazon,10733.77,2025-09-09,upi,cancelled
TXN000280,CUST00002,Amazon,21927.91,2025-06-11,upi,refund
TXN000281,CUST00359,Zomato,812.0,2026-03-12,net_banking,pending
TXN000282,CUST00729,Reliance Digital,16551.26,2026-06-09,credit_card,pending
TXN000283,CUST00524,Swiggy,17763.67,2025-06-23,cash,pending
TXN000284,CUST00015,Swiggy,11176.08,2026-03-19,upi,pending
TXN000285,CUST00199,Swiggy,2801.25,2025-12-09,credit_card,pending
TXN000286,CUST00942,Ola,9799.25,2026-06-10,credit_card,pending
TXN000287,CUST00346,Amazon,7560.45,2026-03-10,credit_card,pending
TXN000288,CUST00236,Reliance Digital,21086.13,2026-04-06,debit_card,pending
TXN000289,CUST00021,Uber,23170.07,2025-08-09,net_banking,pending
TXN000290,CUST00767,Myntra,1775.11,2025-07-31,cash,pending
TXN000291,CUST00409,BigBasket,17070.76,2025-09-01,debit_card,completed
TXN000292,CUST00029,Ola,3230.18,2025-08-10,credit_card,pending
TXN000293,CUST00807,Myntra,13968.45,2025-08-19,upi,pending
TXN000294,CUST00387,Myntra,2877.32,2025-10-20,debit_card,pending
TXN000295,CUST00196,Flipkart,6100.51,2025-12-14,cash,cancelled
TXN000296,CUST00467,Myntra,18631.72,2026-05-04,debit_card,pending
TXN000297,CUST00982,Paytm Mall,23107.96,2025-12-23,cash,pending
TXN000298,CUST00427,Swiggy,17565.39,2025-06-12,credit_card,pending
TXN000299,CUST01040,Zomato,7959.93,2025-11-01,cash,completed
TXN000300,CUST00836,Swiggy,4752.88,2025-09-10,upi,pending
TXN000301,CUST00194,BigBasket,23682.67,2026-05-21,cash,completed
TXN000302,CUST00500,Zomato,16062.03,2025-11-25,net_banking,pending
TXN000303,CUST00275,Uber,19777.71,2026-05-10,credit_card,pending
TXN000304,CUST00495,Paytm Mall,16650.68,2026-04-17,net_banking,failed
TXN000305,CUST00815,Zomato,6160.34,2025-07-04,debit_card,pending
TXN000306,CUST00952,Paytm Mall,3617.07,2025-09-17,upi,failed
TXN000307,CUST00144,Ola,21111.94,2025-09-05,upi,pending
TXN000308,CUST00230,Amazon,2185.5,2025-08-18,upi,pending
TXN000309,CUST00916,Zomato,8559.89,2026-05-31,upi,pending
TXN000310,CUST00859,Flipkart,9580.55,2025-10-10,net_banking,cancelled
TXN000311,CUST00151,Ola,1655.29,2026-04-30,cash,pending
TXN000312,CUST00705,Swiggy,21576.16,2025-06-23,debit_card,pending
TXN000313,CUST00497,Reliance Digital,6004.34,2025-06-13,upi,pending
TXN000314,CUST00337,Zomato,10583.48,2026-01-18,cash,cancelled
TXN000315,CUST00592,Zomato,19127.23,2025-06-19,upi,cancelled
TXN000316,CUST00915,Reliance Digital,21735.12,2026-03-13,cash,cancelled
TXN000317,CUST00035,Myntra,16033.81,2026-05-26,credit_card,pending
TXN000318,CUST00620,Myntra,20642.27,2025-11-30,upi,failed
TXN000319,CUST00430,Uber,6632.01,2025-11-08,cash,pending
TXN000320,CUST00820,BigBasket,9791.07,2025-09-01,credit_card,pending
TXN000321,CUST00645,Paytm Mall,10886.18,2026-01-02,cash,cancelled
TXN000322,CUST00748,Amazon,11740.0,2026-05-27,debit_card,pending
TXN000323,CUST00664,Uber,20883.7,2025-09-22,credit_card,pending
TXN000324,CUST00721,Swiggy,6611.48,2025-06-11,cash,cancelled
TXN000325,CUST00534,Uber,11370.3,2026-01-07,net_banking,pending
TXN000326,CUST00810,Amazon,13567.85,2025-07-29,cash,pending
TXN000327,CUST01005,Amazon,4100.85,2025-09-27,debit_card,pending
TXN000328,CUST00376,Paytm Mall,14725.57,2025-10-13,credit_card,pending
TXN000329,CUST00108,Paytm Mall,2424.94,2025-10-30,net_banking,pending
TXN000330,CUST00446,Reliance Digital,7402.38,2025-08-19,credit_card,failed
TXN000331,CUST00538,Amazon,11269.99,2026-03-13,net_banking,refund
TXN000332,CUST01028,Flipkart,19541.58,2026-02-16,cash,refund
TXN000333,CUST00092,Paytm Mall,16742.33,2025-07-09,credit_card,pending
TXN000334,CUST00702,Uber,19596.48,2025-06-04,credit_card,pending
TXN000335,CUST00100,Zomato,11573.97,2026-01-26,cash,refund
TXN000336,CUST00385,Zomato,3841.75,2025-05-28,net_banking,pending
TXN000337,CUST00990,Amazon,24177.35,2026-04-05,credit_card,pending
TXN000338,CUST00715,Ola,13945.06,2026-06-14,upi,failed
TXN000339,CUST00885,Amazon,21592.54,2026-06-07,debit_card,pending
TXN000340,CUST00759,Ola,2271.64,2025-08-22,debit_card,failed
TXN000341,CUST00752,Amazon,18847.88,2026-04-23,net_banking,pending
TXN000342,CUST00454,Ola,1352.24,2025-08-30,net_banking,pending
TXN000343,CUST00207,BigBasket,16127.32,2025-12-12,cash,cancelled
TXN000344,CUST01035,Uber,20153.85,2025-10-16,upi,pending
TXN000345,CUST00899,Reliance Digital,13669.69,2026-05-04,net_banking,cancelled
TXN000346,CUST00459,Amazon,6354.96,2026-03-31,upi,failed
TXN000347,CUST00558,Swiggy,10056.19,2026-01-03,upi,pending
TXN000348,CUST00473,Paytm Mall,10395.47,2025-09-19,cash,pending
TXN000349,CUST00752,Uber,22258.0,2026-01-01,cash,refund
TXN000350,CUST00282,Paytm Mall,4866.31,2025-08-05,upi,refund
TXN000351,CUST00958,Flipkart,15565.5,2026-05-11,net_banking,pending
TXN000352,CUST00909,Reliance Digital,7428.87,2026-03-27,upi,pending
TXN000353,CUST00897,Flipkart,13112.89,2026-04-09,debit_card,refund
TXN000354,CUST00359,Swiggy,6787.13,2026-03-22,cash,pending
TXN000355,CUST00520,Zomato,23346.75,2025-09-21,net_banking,pending
TXN000356,CUST00844,Ola,6162.38,2026-03-14,cash,cancelled
TXN000357,CUST00908,Flipkart,23933.61,2026-02-13,credit_card,pending
TXN000358,CUST00842,Swiggy,19591.2,2025-12-16,credit_card,pending
TXN000359,CUST00871,Zomato,8278.3,2025-06-23,credit_card,pending
TXN000360,CUST00604,Swiggy,4444.83,2026-01-31,credit_card,pending
TXN000361,CUST01021,Myntra,20073.35,2026-03-03,upi,pending
TXN000362,CUST00177,Swiggy,4559.87,2025-07-06,upi,pending
TXN000363,CUST00540,Paytm Mall,13170.67,2025-10-14,debit_card,failed
TXN000364,CUST00856,Swiggy,10877.24,2025-12-26,upi,pending
TXN000365,CUST00232,Uber,5487.36,2026-03-28,upi,pending
TXN000366,CUST00352,BigBasket,7325.47,2026-06-11,upi,failed
TXN000367,CUST00653,Myntra,895.64,2025-10-07,credit_card,pending
TXN000368,CUST00329,BigBasket,9676.56,2025-07-14,upi,refund
TXN000369,CUST00530,BigBasket,22906.34,2025-06-10,credit_card,pending
TXN000370,CUST00290,Swiggy,3933.77,2026-02-14,cash,pending
TXN000371,CUST00621,Paytm Mall,17985.05,2025-11-06,cash,pending
TXN000372,CUST00672,Swiggy,11374.55,2025-08-10,debit_card,pending
TXN000373,CUST00368,Flipkart,21637.63,2025-10-08,upi,pending
TXN000374,CUST00220,Paytm Mall,17026.51,2025-09-21,debit_card,pending
TXN000375,CUST00601,Myntra,13822.13,2025-09-23,credit_card,pending
TXN000376,CUST01012,Paytm Mall,17299.48,2026-06-17,net_banking,failed
